uid,info
35,"性别:男,年级:大二,专业:计算机,爱好:天文 剪纸 机械 缝纫 跑步,标签:宅属性 技术大牛 高冷 早睡早起 社交牛逼症 段子手 吃货"
36,"性别:男,年级:大一,专业:土木,爱好:足球 机械 羽毛球 天文,标签:技术大牛"
37,"性别:男,年级:研二,专业:新闻,爱好:剪纸 机械 编程 围棋 羽毛球,标签:社交普通型 技术大牛 镇圈大佬 可爱"
38,"性别:女,年级:大二,专业:生物,爱好:足球,标签:温和 镇圈大佬 早睡早起"
39,"性别:女,年级:研一,专业:生物,爱好:绘画 舞蹈 跑步,标签:高冷 吃货 宅属性"
40,"性别:男,年级:大四,专业:美术,爱好:动漫 绘画 骑行 缝纫 跑步,标签:社交普通型 作息规律"
41,"性别:男,年级:研三,专业:土木,爱好:剪纸 羽毛球,标签:社交普通型 高冷 技术大牛 作息规律"
42,"性别:男,年级:大一,专业:英语,爱好:绘画 天文,标签:社交普通型 温和 段子手 作息规律"
43,"性别:女,年级:大四,专业:计算机,爱好:绘画 种植 缝纫,标签:温和 早睡早起"
44,"性别:男,年级:大二,专业:计算机,爱好:舞蹈 缝纫 音乐 羽毛球 种植,标签:段子手 技术大牛 作息规律"
45,"性别:女,年级:博士,专业:通信,爱好:绘画 骑行 音乐 缝纫,标签:温和 早睡早起"
46,"性别:女,年级:研一,专业:计算机,爱好:种植 舞蹈,标签:高冷"
47,"性别:男,年级:研一,专业:医学,爱好:剪纸 种植,标签:高冷 熬夜的神"
48,"性别:男,年级:大一,专业:电气,爱好:围棋 剪纸,标签:熬夜的神 技术大牛 可爱"
49,"性别:男,年级:大四,专业:生物,爱好:音乐 舞蹈 骑行 动漫,标签:吃货"
50,"性别:女,年级:研一,专业:新闻,爱好:骑行 种植 缝纫 足球 舞蹈,标签:段子手 社恐星人 作息规律"
51,"性别:女,年级:研三,专业:会计,爱好:天文 足球 动漫 骑行 围棋,标签:社交普通型 温和 作息规律"
52,"性别:男,年级:大四,专业:英语,爱好:机械 编程,标签:段子手 温和 熬夜的神 运动达人"
53,"性别:女,年级:研二,专业:生物,爱好:羽毛球 骑行 机械 剪纸 天文,标签:社交普通型 温和 早睡早起"
54,"性别:女,年级:大三,专业:体育,爱好:羽毛球 舞蹈,标签:社交普通型 温和 段子手 作息规律"
55,"性别:男,年级:大四,专业:会计,爱好:羽毛球 缝纫,标签:段子手 运动达人"
56,"性别:女,年级:博士,专业:法学,爱好:骑行,标签:宅属性 熬夜的神 社交牛逼症 技术大牛"
57,"性别:女,年级:大四,专业:英语,爱好:动漫 羽毛球 编程,标签:作息规律"
58,"性别:女,年级:大一,专业:生物,爱好:缝纫,标签:社交普通型"
59,"性别:男,年级:大一,专业:美术,爱好:绘画 种植,标签:社交牛逼症"
60,"性别:男,年级:大一,专业:计算机,爱好:剪纸 绘画 天文 舞蹈,标签:段子手 温和 早睡早起"
61,"性别:女,年级:大四,专业:土木,爱好:围棋 机械 舞蹈 剪纸,标签:社恐星人 可爱"
62,"性别:男,年级:大四,专业:计算机,爱好:种植 天文 跑步 羽毛球,标签:可爱 宅属性 吃货 作息规律"
63,"性别:女,年级:大三,专业:新闻,爱好:骑行 天文,标签:早睡早起"
64,"性别:男,年级:大三,专业:新闻,爱好:骑行 剪纸,标签:无标签"
65,"性别:女,年级:博士,专业:通信,爱好:骑行 种植 编程,标签:作息规律"
66,"性别:男,年级:大一,专业:土木,爱好:羽毛球 编程,标签:可爱 宅属性 吃货 作息规律"
67,"性别:男,年级:研一,专业:美术,爱好:剪纸 骑行 音乐 舞蹈 足球,标签:熬夜的神 镇圈大佬 社交牛逼症 技术大牛"
68,"性别:男,年级:研一,专业:生物,爱好:羽毛球 音乐,标签:高冷 社恐星人 早睡早起"
69,"性别:女,年级:研三,专业:体育,爱好:音乐 动漫,标签:运动达人 作息规律 温和 镇圈大佬 吃货"
70,"性别:男,年级:大三,专业:土木,爱好:足球 天文 动漫 舞蹈 剪纸,标签:宅属性 吃货"
71,"性别:男,年级:博士,专业:会计,爱好:足球 舞蹈 跑步 围棋 绘画,标签:段子手 温和"
72,"性别:男,年级:大四,专业:新闻,爱好:天文 足球 绘画 缝纫,标签:社交普通型"
73,"性别:男,年级:博士,专业:新闻,爱好:足球 机械 音乐 编程,标签:运动达人 早睡早起"
74,"性别:女,年级:研二,专业:计算机,爱好:足球,标签:高冷 吃货 社交牛逼症 宅属性"
75,"性别:男,年级:大一,专业:美术,爱好:机械,标签:熬夜的神 可爱"
76,"性别:女,年级:大一,专业:生物,爱好:围棋 缝纫,标签:作息规律"
77,"性别:男,年级:大二,专业:计算机,爱好:骑行 动漫 种植,标签:运动达人"
78,"性别:男,年级:研一,专业:体育,爱好:机械 编程 动漫 足球,标签:温和 熬夜的神"
79,"性别:女,年级:大二,专业:美术,爱好:羽毛球 动漫 机械,标签:运动达人 镇圈大佬 社交牛逼症 作息规律"
80,"性别:女,年级:研三,专业:电气,爱好:羽毛球 舞蹈 骑行 缝纫 动漫,标签:社交普通型 温和 镇圈大佬 早睡早起"
81,"性别:女,年级:大一,专业:土木,爱好:天文,标签:温和 熬夜的神 社恐星人"
82,"性别:男,年级:大四,专业:英语,爱好:舞蹈 足球 音乐,标签:段子手 运动达人 早睡早起"
83,"性别:女,年级:大一,专业:医学,爱好:剪纸 跑步 绘画 舞蹈,标签:段子手 镇圈大佬 社恐星人 早睡早起"
84,"性别:女,年级:大三,专业:土木,爱好:跑步 绘画 围棋 种植 缝纫,标签:段子手 高冷 镇圈大佬"
85,"性别:男,年级:研三,专业:土木,爱好:音乐 动漫,标签:技术大牛 镇圈大佬 社交牛逼症"
86,"性别:男,年级:大二,专业:医学,爱好:骑行 围棋,标签:高冷 社恐星人 早睡早起"
87,"性别:男,年级:大三,专业:计算机,爱好:羽毛球 剪纸 舞蹈 绘画,标签:高冷 技术大牛 早睡早起"
88,"性别:女,年级:博士,专业:计算机,爱好:骑行 羽毛球 编程 音乐,标签:宅属性 吃货 社恐星人"
89,"性别:女,年级:博士,专业:会计,爱好:天文 围棋 骑行 跑步,标签:熬夜的神 技术大牛 社恐星人 可爱"
90,"性别:男,年级:大四,专业:计算机,爱好:动漫 种植,标签:段子手 高冷 镇圈大佬 社恐星人"
91,"性别:男,年级:研一,专业:通信,爱好:舞蹈 跑步 羽毛球 围棋,标签:高冷 社交牛逼症 作息规律"
92,"性别:女,年级:研三,专业:美术,爱好:羽毛球 围棋 编程 跑步 剪纸,标签:高冷 技术大牛 镇圈大佬 社恐星人"
93,"性别:女,年级:研一,专业:英语,爱好:动漫 足球 机械,标签:高冷"
94,"性别:女,年级:大四,专业:新闻,爱好:骑行,标签:宅属性 社恐星人 作息规律"
95,"性别:男,年级:研三,专业:新闻,爱好:音乐,标签:宅属性 吃货 社交牛逼症 早睡早起"
96,"性别:男,年级:大三,专业:医学,爱好:种植 围棋 舞蹈 编程,标签:高冷 镇圈大佬 运动达人 作息规律"
97,"性别:女,年级:研二,专业:法学,爱好:天文 编程 缝纫,标签:高冷 技术大牛 社恐星人 运动达人"
98,"性别:女,年级:大三,专业:通信,爱好:动漫 骑行 机械 剪纸,标签:技术大牛 社恐星人 可爱"
99,"性别:男,年级:大一,专业:生物,爱好:羽毛球 围棋 音乐,标签:无标签"
100,"性别:女,年级:研三,专业:医学,爱好:机械 音乐 羽毛球,标签:温和 技术大牛 社恐星人 作息规律"
101,"性别:女,年级:研一,专业:土木,爱好:足球 剪纸 舞蹈 骑行 编程,标签:技术大牛 镇圈大佬 可爱"
102,"性别:男,年级:研三,专业:医学,爱好:舞蹈 羽毛球 种植,标签:社恐星人 可爱 早睡早起 段子手 吃货"
103,"性别:女,年级:大四,专业:土木,爱好:骑行 舞蹈,标签:作息规律"
104,"性别:女,年级:研一,专业:计算机,爱好:剪纸 舞蹈 绘画 围棋 羽毛球,标签:社交普通型 宅属性 吃货 作息规律"
105,"性别:女,年级:研二,专业:英语,爱好:编程,标签:高冷 作息规律"
106,"性别:男,年级:研三,专业:计算机,爱好:种植 动漫,标签:技术大牛 可爱 作息规律 社交牛逼症 段子手"
107,"性别:女,年级:大三,专业:医学,爱好:缝纫,标签:社恐星人 作息规律"
108,"性别:女,年级:研三,专业:美术,爱好:骑行 动漫,标签:社恐星人"
109,"性别:男,年级:大一,专业:美术,爱好:绘画,标签:段子手 可爱"
110,"性别:男,年级:大四,专业:体育,爱好:种植 足球 编程 缝纫 跑步,标签:社恐星人"
111,"性别:男,年级:研二,专业:通信,爱好:足球 绘画 围棋,标签:段子手 高冷 技术大牛"
112,"性别:女,年级:研一,专业:英语,爱好:音乐,标签:高冷 吃货 作息规律 宅属性"
113,"性别:女,年级:研二,专业:生物,爱好:动漫 天文 围棋 机械 编程,标签:宅属性 技术大牛 熬夜的神 社交牛逼症 吃货"
114,"性别:女,年级:大四,专业:新闻,爱好:音乐 围棋 绘画,标签:镇圈大佬 早睡早起"
115,"性别:女,年级:研三,专业:医学,爱好:舞蹈 围棋,标签:社交普通型"
116,"性别:男,年级:研一,专业:医学,爱好:围棋 舞蹈 跑步 编程,标签:熬夜的神 镇圈大佬 吃货 社交牛逼症"
117,"性别:女,年级:研一,专业:电气,爱好:天文,标签:熬夜的神"
118,"性别:女,年级:研一,专业:英语,爱好:足球,标签:宅属性 段子手 可爱 社交普通型 镇圈大佬"
119,"性别:女,年级:研一,专业:生物,爱好:缝纫 动漫 足球 种植 绘画,标签:段子手 镇圈大佬"
120,"性别:男,年级:研一,专业:电气,爱好:编程 种植 机械 绘画 骑行,标签:社恐星人 早睡早起"
121,"性别:男,年级:大四,专业:美术,爱好:舞蹈,标签:社交普通型 高冷 作息规律"
122,"性别:女,年级:大四,专业:美术,爱好:缝纫 编程,标签:宅属性 吃货 社交牛逼症"
123,"性别:女,年级:大一,专业:计算机,爱好:舞蹈 编程,标签:镇圈大佬 运动达人"
124,"性别:男,年级:大一,专业:法学,爱好:动漫,标签:温和"
125,"性别:男,年级:研一,专业:电气,爱好:编程 围棋 天文,标签:运动达人"
126,"性别:男,年级:研三,专业:电气,爱好:机械 编程 音乐 羽毛球 跑步,标签:社交普通型"
127,"性别:男,年级:研二,专业:新闻,爱好:羽毛球 舞蹈,标签:宅属性 高冷 作息规律 段子手 镇圈大佬 吃货"
128,"性别:女,年级:大二,专业:法学,爱好:编程 天文 动漫,标签:社交普通型"
129,"性别:女,年级:研一,专业:土木,爱好:跑步 羽毛球 编程 种植,标签:社交普通型"
130,"性别:女,年级:研一,专业:医学,爱好:围棋 动漫 骑行,标签:温和 熬夜的神 社交牛逼症"
131,"性别:男,年级:研一,专业:体育,爱好:动漫 缝纫 音乐 机械,标签:熬夜的神 社恐星人"
132,"性别:女,年级:大四,专业:电气,爱好:剪纸 天文 音乐 机械,标签:运动达人 镇圈大佬 社交牛逼症 作息规律"
133,"性别:女,年级:大四,专业:医学,爱好:围棋,标签:段子手 镇圈大佬"
134,"性别:女,年级:博士,专业:计算机,爱好:绘画 足球 跑步,标签:社交牛逼症 作息规律"
135,"性别:男,年级:博士,专业:新闻,爱好:绘画 羽毛球 足球 缝纫 音乐,标签:宅属性 社交牛逼症 早睡早起"
136,"性别:男,年级:大二,专业:体育,爱好:剪纸 缝纫,标签:运动达人 作息规律"
137,"性别:男,年级:博士,专业:通信,爱好:羽毛球,标签:可爱 作息规律"
138,"性别:女,年级:大三,专业:体育,爱好:跑步 足球 骑行 缝纫 剪纸,标签:社恐星人 可爱"
139,"性别:女,年级:研三,专业:通信,爱好:天文,标签:社恐星人"
140,"性别:男,年级:研三,专业:土木,爱好:缝纫 羽毛球 足球 天文,标签:社恐星人"
141,"性别:男,年级:大三,专业:新闻,爱好:天文 剪纸,标签:社交牛逼症 早睡早起"
142,"性别:男,年级:大二,专业:英语,爱好:足球 种植 舞蹈,标签:社交普通型 熬夜的神 技术大牛"
143,"性别:女,年级:研三,专业:医学,爱好:动漫 缝纫 跑步 骑行 天文,标签:宅属性 吃货 社恐星人"
144,"性别:女,年级:大一,专业:会计,爱好:跑步 绘画 种植 音乐,标签:无标签"
145,"性别:男,年级:研二,专业:美术,爱好:跑步 动漫 音乐,标签:段子手 高冷 镇圈大佬 早睡早起"
146,"性别:男,年级:博士,专业:电气,爱好:舞蹈 剪纸 足球 绘画,标签:吃货 早睡早起"
147,"性别:女,年级:研二,专业:医学,爱好:种植 羽毛球 音乐 舞蹈 跑步,标签:运动达人 可爱"
148,"性别:女,年级:大四,专业:新闻,爱好:动漫 机械,标签:熬夜的神"
149,"性别:女,年级:研二,专业:医学,爱好:围棋 足球,标签:温和 早睡早起"
150,"性别:女,年级:博士,专业:医学,爱好:剪纸 羽毛球 舞蹈 音乐,标签:段子手 技术大牛 可爱"
151,"性别:女,年级:研三,专业:美术,爱好:绘画 机械 羽毛球 缝纫 舞蹈,标签:宅属性 社恐星人 可爱"
152,"性别:女,年级:研一,专业:电气,爱好:剪纸,标签:段子手 高冷 吃货 作息规律"
153,"性别:女,年级:大三,专业:计算机,爱好:天文 骑行 剪纸,标签:吃货 社交牛逼症 作息规律"
154,"性别:女,年级:博士,专业:生物,爱好:缝纫 围棋 绘画,标签:宅属性 社恐星人 作息规律"
155,"性别:男,年级:大三,专业:法学,爱好:机械 跑步 围棋 缝纫,标签:宅属性 技术大牛 社交普通型 镇圈大佬 吃货"
156,"性别:男,年级:大四,专业:生物,爱好:剪纸 骑行,标签:运动达人 作息规律"
157,"性别:女,年级:研二,专业:法学,爱好:缝纫,标签:高冷 作息规律"
158,"性别:男,年级:大四,专业:土木,爱好:羽毛球 天文,标签:社交牛逼症 运动达人"
159,"性别:男,年级:大一,专业:生物,爱好:音乐 动漫,标签:社交普通型 可爱 早睡早起"
160,"性别:女,年级:大一,专业:电气,爱好:足球 骑行,标签:无标签"
161,"性别:女,年级:大二,专业:计算机,爱好:跑步 缝纫 音乐 围棋,标签:可爱 宅属性 运动达人 作息规律"
162,"性别:女,年级:大一,专业:美术,爱好:围棋,标签:技术大牛 高冷 社恐星人 早睡早起 镇圈大佬"
163,"性别:男,年级:博士,专业:法学,爱好:机械,标签:宅属性 吃货 社交牛逼症"
164,"性别:女,年级:研一,专业:土木,爱好:缝纫,标签:可爱 早睡早起"
165,"性别:女,年级:博士,专业:通信,爱好:跑步 动漫 足球 围棋 绘画,标签:社交普通型"
166,"性别:男,年级:大一,专业:新闻,爱好:足球,标签:宅属性 技术大牛 运动达人 可爱"
167,"性别:男,年级:大二,专业:法学,爱好:围棋 音乐 剪纸,标签:镇圈大佬"
168,"性别:男,年级:研一,专业:电气,爱好:剪纸 动漫 种植 骑行 跑步,标签:社交普通型 早睡早起"
169,"性别:男,年级:大一,专业:法学,爱好:绘画 骑行,标签:技术大牛 镇圈大佬 社恐星人"
170,"性别:男,年级:大三,专业:新闻,爱好:围棋 编程,标签:段子手 镇圈大佬 社恐星人"
171,"性别:男,年级:大二,专业:通信,爱好:羽毛球 围棋,标签:社交普通型 高冷"
172,"性别:男,年级:博士,专业:英语,爱好:足球,标签:温和 社恐星人"
173,"性别:男,年级:大二,专业:电气,爱好:绘画,标签:段子手 宅属性 镇圈大佬 吃货"
174,"性别:女,年级:大三,专业:计算机,爱好:剪纸 种植 足球 动漫 音乐,标签:段子手 镇圈大佬 可爱"
175,"性别:女,年级:博士,专业:会计,爱好:天文 羽毛球 足球,标签:熬夜的神"
176,"性别:女,年级:研二,专业:土木,爱好:缝纫 种植 编程 舞蹈,标签:宅属性 社恐星人"
177,"性别:女,年级:大四,专业:医学,爱好:绘画 舞蹈 编程,标签:社交普通型 段子手 吃货"
178,"性别:男,年级:博士,专业:法学,爱好:羽毛球 围棋,标签:熬夜的神 运动达人 可爱"
179,"性别:女,年级:大四,专业:医学,爱好:足球 舞蹈,标签:段子手 熬夜的神 镇圈大佬"
180,"性别:男,年级:博士,专业:通信,爱好:动漫 天文 绘画 音乐 骑行,标签:宅属性 社恐星人 可爱 作息规律 段子手"
181,"性别:男,年级:研二,专业:土木,爱好:舞蹈 剪纸 天文 围棋 缝纫,标签:可爱 作息规律"
182,"性别:女,年级:博士,专业:计算机,爱好:种植 绘画 缝纫 音乐,标签:镇圈大佬 运动达人"
183,"性别:男,年级:博士,专业:通信,爱好:音乐 骑行,标签:技术大牛 吃货"
184,"性别:男,年级:大四,专业:电气,爱好:跑步,标签:可爱 技术大牛 社恐星人 早睡早起"
185,"性别:男,年级:大三,专业:通信,爱好:跑步,标签:社恐星人 运动达人 作息规律"
186,"性别:女,年级:博士,专业:体育,爱好:骑行 动漫 天文 种植 舞蹈,标签:温和 熬夜的神"
187,"性别:男,年级:研二,专业:土木,爱好:围棋,标签:社恐星人 作息规律"
188,"性别:男,年级:大一,专业:法学,爱好:动漫 编程 骑行 绘画 足球,标签:熬夜的神 可爱"
189,"性别:男,年级:研三,专业:医学,爱好:种植 骑行 机械,标签:宅属性 技术大牛 镇圈大佬 吃货"
190,"性别:男,年级:研一,专业:英语,爱好:剪纸 绘画,标签:社交普通型 高冷 吃货 宅属性"
191,"性别:男,年级:博士,专业:生物,爱好:天文 剪纸 围棋,标签:宅属性 可爱 作息规律 社交牛逼症 吃货"
192,"性别:男,年级:研三,专业:电气,爱好:绘画 舞蹈 骑行 天文,标签:镇圈大佬 社恐星人 运动达人 可爱"
193,"性别:男,年级:博士,专业:新闻,爱好:音乐 羽毛球 舞蹈 骑行 天文,标签:宅属性 镇圈大佬 吃货 运动达人"
194,"性别:男,年级:大一,专业:生物,爱好:种植 音乐 舞蹈,标签:可爱 早睡早起"
195,"性别:男,年级:研一,专业:土木,爱好:机械 种植,标签:温和 吃货 宅属性"
196,"性别:男,年级:研三,专业:美术,爱好:天文 机械 围棋 种植,标签:温和 早睡早起"
197,"性别:女,年级:研二,专业:新闻,爱好:足球,标签:运动达人 可爱"
198,"性别:女,年级:大四,专业:生物,爱好:缝纫 骑行 足球,标签:段子手 高冷 运动达人 作息规律"
199,"性别:女,年级:博士,专业:新闻,爱好:骑行 种植 天文 动漫 音乐,标签:社交普通型"
200,"性别:男,年级:研二,专业:通信,爱好:足球,标签:可爱 吃货 社交牛逼症 作息规律"
201,"性别:女,年级:大二,专业:美术,爱好:缝纫,标签:技术大牛 社交牛逼症 可爱"
202,"性别:女,年级:研三,专业:计算机,爱好:绘画 机械 足球 跑步 围棋,标签:社恐星人 运动达人"
203,"性别:男,年级:研二,专业:电气,爱好:羽毛球 足球 围棋 种植,标签:早睡早起"
204,"性别:女,年级:大三,专业:法学,爱好:种植 足球 舞蹈 音乐 绘画,标签:社交普通型 宅属性 段子手"
205,"性别:女,年级:大三,专业:医学,爱好:剪纸 机械 围棋 音乐 跑步,标签:镇圈大佬 吃货 运动达人 早睡早起"
206,"性别:女,年级:研二,专业:医学,爱好:绘画 编程 缝纫 天文,标签:作息规律"
207,"性别:女,年级:博士,专业:会计,爱好:音乐 围棋 天文,标签:宅属性 技术大牛 运动达人 温和 社交普通型"
208,"性别:男,年级:大一,专业:美术,爱好:剪纸 围棋 音乐 绘画,标签:社交普通型 高冷"
209,"性别:男,年级:研二,专业:计算机,爱好:骑行 编程 跑步,标签:社交普通型 宅属性 吃货"
210,"性别:女,年级:研一,专业:电气,爱好:剪纸,标签:可爱 社交牛逼症 早睡早起"
211,"性别:男,年级:大三,专业:体育,爱好:缝纫 机械 舞蹈 剪纸,标签:温和 吃货 社恐星人 宅属性"
212,"性别:男,年级:大四,专业:医学,爱好:种植 绘画,标签:吃货 可爱"
213,"性别:男,年级:大三,专业:计算机,爱好:绘画 围棋 骑行 剪纸 编程,标签:社恐星人"
214,"性别:男,年级:大四,专业:新闻,爱好:缝纫 足球 动漫 围棋 剪纸,标签:高冷 吃货 宅属性"
215,"性别:男,年级:博士,专业:法学,爱好:动漫 音乐 种植,标签:高冷"
216,"性别:男,年级:研二,专业:通信,爱好:种植 音乐,标签:早睡早起"
217,"性别:女,年级:大二,专业:会计,爱好:种植 骑行 足球 舞蹈,标签:社交牛逼症 运动达人"
218,"性别:女,年级:博士,专业:新闻,爱好:足球 跑步,标签:熬夜的神 可爱"
219,"性别:女,年级:大二,专业:新闻,爱好:天文 机械 舞蹈,标签:社交普通型 高冷 熬夜的神"
220,"性别:女,年级:博士,专业:医学,爱好:绘画 骑行 围棋,标签:可爱"
221,"性别:男,年级:博士,专业:土木,爱好:动漫 剪纸 音乐 足球 机械,标签:技术大牛 温和 熬夜的神 社交牛逼症 镇圈大佬"
222,"性别:男,年级:博士,专业:法学,爱好:围棋,标签:无标签"
223,"性别:男,年级:大一,专业:会计,爱好:跑步,标签:早睡早起"
224,"性别:女,年级:研一,专业:生物,爱好:围棋 种植 缝纫,标签:段子手 高冷 社恐星人"
225,"性别:男,年级:研二,专业:通信,爱好:足球 编程 种植,标签:社交普通型 宅属性 技术大牛 吃货"
226,"性别:男,年级:大二,专业:生物,爱好:音乐 羽毛球 足球 绘画 缝纫,标签:社交普通型 镇圈大佬 运动达人 可爱"
227,"性别:女,年级:研三,专业:医学,爱好:剪纸,标签:段子手 熬夜的神"
228,"性别:女,年级:大四,专业:法学,爱好:足球 种植 缝纫,标签:宅属性 作息规律"
229,"性别:女,年级:研一,专业:土木,爱好:种植 舞蹈 机械 缝纫 音乐,标签:宅属性 可爱 熬夜的神 段子手 镇圈大佬"
230,"性别:女,年级:大三,专业:美术,爱好:足球 编程,标签:宅属性 熬夜的神 吃货 技术大牛"
231,"性别:男,年级:大四,专业:法学,爱好:羽毛球 舞蹈 绘画 足球 骑行,标签:社交普通型 吃货 作息规律"
232,"性别:男,年级:博士,专业:美术,爱好:天文 绘画 骑行 动漫,标签:温和 作息规律"
233,"性别:女,年级:大一,专业:通信,爱好:编程 缝纫 剪纸 羽毛球 天文,标签:温和 早睡早起"
234,"性别:女,年级:大二,专业:土木,爱好:羽毛球 动漫 机械 缝纫,标签:熬夜的神 可爱"
235,"性别:男,年级:博士,专业:生物,爱好:编程,标签:温和 社恐星人 作息规律"
236,"性别:男,年级:大二,专业:法学,爱好:围棋 绘画,标签:宅属性 技术大牛 吃货 可爱"
237,"性别:女,年级:研三,专业:生物,爱好:跑步 编程 围棋,标签:宅属性 运动达人 社交牛逼症 镇圈大佬 吃货"
238,"性别:女,年级:大一,专业:医学,爱好:编程 缝纫 骑行,标签:技术大牛 镇圈大佬"
239,"性别:男,年级:博士,专业:土木,爱好:种植 舞蹈,标签:段子手 高冷 技术大牛 社恐星人"
240,"性别:女,年级:研一,专业:通信,爱好:足球 天文 种植,标签:宅属性 吃货"
241,"性别:男,年级:大一,专业:会计,爱好:围棋 骑行 羽毛球 动漫 编程,标签:温和"
242,"性别:女,年级:大一,专业:会计,爱好:动漫 种植 编程,标签:熬夜的神 吃货"
243,"性别:男,年级:研二,专业:土木,爱好:天文 剪纸 机械 羽毛球 编程,标签:技术大牛 社恐星人 运动达人 可爱"
244,"性别:男,年级:大二,专业:电气,爱好:机械,标签:运动达人 早睡早起 温和 社交牛逼症 镇圈大佬"
245,"性别:女,年级:博士,专业:新闻,爱好:羽毛球 舞蹈 足球 骑行,标签:可爱 段子手 镇圈大佬 早睡早起"
246,"性别:女,年级:博士,专业:法学,爱好:骑行,标签:高冷 技术大牛 社恐星人"
247,"性别:女,年级:大三,专业:土木,爱好:足球 跑步 编程 羽毛球,标签:社交牛逼症"
248,"性别:男,年级:研一,专业:法学,爱好:机械 绘画,标签:高冷 作息规律"
249,"性别:女,年级:大三,专业:会计,爱好:羽毛球,标签:段子手"
250,"性别:女,年级:大一,专业:英语,爱好:骑行 种植,标签:温和 社恐星人"
251,"性别:女,年级:大三,专业:医学,爱好:缝纫 舞蹈 编程 跑步,标签:社交普通型 作息规律"
252,"性别:女,年级:大三,专业:法学,爱好:羽毛球 舞蹈 机械 跑步 动漫,标签:社恐星人 作息规律"
253,"性别:女,年级:博士,专业:会计,爱好:种植 跑步 绘画,标签:高冷 社恐星人"
254,"性别:男,年级:研一,专业:医学,爱好:种植,标签:段子手 可爱 早睡早起 社交普通型 吃货"
